y,t
65.5,37.939453125
64.75,37.94140625
71.75,37.943359375
81.375,37.9453125
86.75,37.947265625
101.375,37.94921875
109.625,37.951171875
109.375,37.953125
110.625,37.955078125
103.375,37.95703125
94.5,37.958984375
95.875,37.9609375
98.375,37.962890625
92.875,37.96484375
92.75,37.966796875
100.875,37.96875
101.75,37.970703125
104,37.97265625
100.375,37.974609375
87.25,37.9765625
80,37.978515625
72.125,37.98046875
70.5,37.982421875
73.375,37.984375
69,37.986328125
69.875,37.98828125
73.25,37.990234375
61.875,37.9921875
59.625,37.994140625
71.875,37.99609375
74,37.998046875
64.5,38
50.75,38.001953125
45.5,38.00390625
43.25,38.005859375
30.75,38.0078125
21,38.009765625
20.125,38.01171875
16.5,38.013671875
10.125,38.015625
15.5,38.017578125
17.75,38.01953125
13.375,38.021484375
14.5,38.0234375
15.5,38.025390625
16.5,38.02734375
16.75,38.029296875
15.5,38.03125
12.75,38.033203125
11.625,38.03515625
13,38.037109375
5.125,38.0390625
-15.375,38.041015625
-22.875,38.04296875
-10.875,38.044921875
-10,38.046875
-23.75,38.048828125
-23.25,38.05078125
-7.625,38.052734375
-0.625,38.0546875
-1.875,38.056640625
3.875,38.05859375
6.5,38.060546875
2.25,38.0625
0,38.064453125
-3,38.06640625
-5.875,38.068359375
-22.625,38.0703125
-41.375,38.072265625
-29.75,38.07421875
2.25,38.076171875
10.5,38.078125
8.625,38.080078125
19.875,38.08203125
13.25,38.083984375
9.25,38.0859375
15.75,38.087890625
9,38.08984375
2.375,38.091796875
5,38.09375
4.125,38.095703125
1.125,38.09765625
2,38.099609375
5,38.1015625
13.125,38.103515625
19.625,38.10546875
-0.875,38.107421875
-16.75,38.109375
-1.125,38.111328125
4.625,38.11328125
2.875,38.115234375
-2.5,38.1171875
-9.75,38.119140625
-4.25,38.12109375
-3,38.123046875
-12.25,38.125
-3.75,38.126953125
13.875,38.12890625
10.25,38.130859375
3.25,38.1328125
7.25,38.134765625
7.625,38.13671875
-1,38.138671875
0.375,38.140625
13.5,38.142578125
17.125,38.14453125
20,38.146484375
22.375,38.1484375
15.5,38.150390625
8.875,38.15234375
9,38.154296875
5.25,38.15625
2.75,38.158203125
0.625,38.16015625
-8.125,38.162109375
-6.625,38.1640625
-1.375,38.166015625
0,38.16796875
3,38.169921875
7.625,38.171875
5.875,38.173828125
-2.125,38.17578125
1.625,38.177734375
11.125,38.1796875
18.75,38.181640625
22.75,38.18359375
12.625,38.185546875
0.25,38.1875
1,38.189453125
8.75,38.19140625
5.625,38.193359375
-3.5,38.1953125
-1.375,38.197265625
-0.625,38.19921875
-4.125,38.201171875
0.125,38.203125
3.375,38.205078125
4.875,38.20703125
10.25,38.208984375
12.375,38.2109375
10,38.212890625
8.625,38.21484375
9.25,38.216796875
14.75,38.21875
14.375,38.220703125
4.625,38.22265625
15.5,38.224609375
21.875,38.2265625
9.875,38.228515625
10.875,38.23046875
10.375,38.232421875
4,38.234375
8,38.236328125
10.625,38.23828125
11.25,38.240234375
26.375,38.2421875
26.5,38.244140625
15.125,38.24609375
17.875,38.248046875
13.375,38.25
6.625,38.251953125
14.875,38.25390625
23.5,38.255859375
17.125,38.2578125
16.375,38.259765625
22.125,38.26171875
17,38.263671875
7.25,38.265625
5.625,38.267578125
19.875,38.26953125
32.625,38.271484375
26.625,38.2734375
20.75,38.275390625
36.25,38.27734375
28,38.279296875
-9.125,38.28125
-6.125,38.283203125
21,38.28515625
19.25,38.287109375
6.5,38.2890625
5.25,38.291015625
9.25,38.29296875
5.625,38.294921875
-0.625,38.296875
8.25,38.298828125
12.75,38.30078125
0.375,38.302734375
-2.625,38.3046875
4.75,38.306640625
-1.75,38.30859375
-16.125,38.310546875
-4.875,38.3125
9.625,38.314453125
3.875,38.31640625
-1.5,38.318359375
-10,38.3203125
-7,38.322265625
2.25,38.32421875
-7.875,38.326171875
-12.625,38.328125
-1.25,38.330078125
4.375,38.33203125
5.375,38.333984375
-0.5,38.3359375
-2.375,38.337890625
11,38.33984375
11.875,38.341796875
1.875,38.34375
0.25,38.345703125
6.5,38.34765625
8,38.349609375
-1.5,38.3515625
-3,38.353515625
1.375,38.35546875
-1.375,38.357421875
-3.25,38.359375
-0.625,38.361328125
5.75,38.36328125
9.75,38.365234375
9.75,38.3671875
15.875,38.369140625
20.625,38.37109375
16.625,38.373046875
8.75,38.375
-3.875,38.376953125
-4.75,38.37890625
4.125,38.380859375
6.25,38.3828125
7,38.384765625
8.625,38.38671875
9.25,38.388671875
9.125,38.390625
15.875,38.392578125
15.125,38.39453125
11.25,38.396484375
14.625,38.3984375
15.125,38.400390625
8.625,38.40234375
8,38.404296875
14.875,38.40625
22.625,38.408203125
32.125,38.41015625
21.625,38.412109375
13.125,38.4140625
22,38.416015625
27,38.41796875
16.75,38.419921875
2.125,38.421875
11.875,38.423828125
20.75,38.42578125
18.25,38.427734375
13.625,38.4296875
11.625,38.431640625
16.625,38.43359375
16.75,38.435546875
24.875,38.4375
27.75,38.439453125
32.75,38.44140625
46.125,38.443359375
22.375,38.4453125
16.125,38.447265625
24.25,38.44921875
22.875,38.451171875
39.125,38.453125
